新闻频道,#genre#
湖北卫视 4M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226240/1.m3u8
贵州卫视 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226497/1.m3u8
黑龙江卫视 4M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226239/1.m3u8
黑龙江卫视 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226498/1.m3u8
北京卡酷少儿 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226558/1.m3u8
北京影视 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226486/1.m3u8
北京文艺 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226440/1.m3u8
北京新闻 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226437/1.m3u8
北京生活8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226561/1.m3u8
北京科教8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226559/1.m3u8
北京财经8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226560/1.m3u8
北京青年8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226562/1.m3u8
湖南快乐垂钓 8M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226549/1.m3u8
中国教育1 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226417/1.m3u8
中国教育1 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226538/1.m3u8
中国教育4 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226362/1.m3u8
云南卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225902/1.m3u8
内蒙古卫视 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226415/1.m3u8
内蒙古卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226530/1.m3u8
厦门卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226542/1.m3u8
吉林卫视 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226426/1.m3u8
吉林卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226533/1.m3u8
四川卫视 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226407/1.m3u8
四川卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226523/1.m3u8
天津卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226489/1.m3u8
宁夏卫视 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226413/1.m3u8
安徽卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225873/1.m3u8
山东卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226487/1.m3u8
山西卫视 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226410/1.m3u8
山西卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226531/1.m3u8
广东卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226535/1.m3u8
广西卫视 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226408/1.m3u8
广西卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225879/1.m3u8
新疆卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226422/1.m3u8
江苏卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226491/1.m3u8
江西卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226522/1.m3u8
河北卫视 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226409/1.m3u8
河北卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225881/1.m3u8
河南卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226525/1.m3u8
浙江卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226492/1.m3u8
海南卫视 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226427/1.m3u8
湖北卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226520/1.m3u8
湖南卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226493/1.m3u8
甘肃卫视 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226414/1.m3u8
甘肃卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225877/1.m3u8
西藏卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225900/1.m3u8
贵州卫视 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226405/1.m3u8
贵州卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225880/1.m3u8
辽宁卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226488/1.m3u8
重庆卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226337/1.m3u8
陕西卫视 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226411/1.m3u8
陕西卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225896/1.m3u8
青海卫视 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226412/1.m3u8
青海卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225893/1.m3u8
黑龙江卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226524/1.m3u8
山东教育卫视 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226419/1.m3u8
山东教育卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225908/1.m3u8
广东南方卫视地面 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226540/1.m3u8
新疆兵团卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226541/1.m3u8
海南三沙卫视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226544/1.m3u8
北京冬奥纪实 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226515/1.m3u8
北京卡酷少儿 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226418/1.m3u8
北京卡酷少儿 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225907/1.m3u8
北京国际 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226510/1.m3u8
北京影视 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226433/1.m3u8
北京文艺 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226435/1.m3u8
北京新闻 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226512/1.m3u8
北京科教 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226434/1.m3u8
广东嘉佳卡通 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226539/1.m3u8
江苏优漫卡通 4M576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226420/1.m3u8
江苏优漫卡通 576,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225910/1.m3u8
CCTV中视购物 4M720,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226385/1.m3u8
黑莓动画 4M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225914/1.m3u8
黑莓电影 4M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225927/1.m3u8
黑莓电竞 4M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225931/1.m3u8

newTV,#genre#
NewTV中国功夫 2.5M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226321/1.m3u8
NewTV怡伴健康 2.5M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226327/1.m3u8
NewTV军事评论 2.5M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226326/1.m3u8
NewTV军旅剧场 2.5M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226324/1.m3u8
NewTV农业致富 4M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226304/1.m3u8
NewTV动作电影 2.5M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226329/1.m3u8
NewTV惊悚悬疑 2.5M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225921/1.m3u8
NewTV明星大片 2.5M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225929/1.m3u8
NewTV明星大片 4M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226425/1.m3u8
NewTV武搏世界 2.5M1080,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226320/1.m3u8
